Rk,Squad,Pts,W,D,L,GD,GF,GA,xG,# Pl_2024,Age_2024,Poss_2024,# Pl_2025,Age_2025,Poss_2025
1,Liverpool,84,25,9,4,45,86,41,82.2,24,27.2,57.7,20.0,27.1,58.7
2,Arsenal,74,20,14,4,35,69,34,59.9,25,25.8,56.9,21.0,25.7,51.0
3,Manchester City,71,21,8,9,28,72,44,68.1,30,26.8,61.3,19.0,25.7,60.7
4,Chelsea,69,20,9,9,21,64,43,67.8,29,23.7,57.1,19.0,24.4,61.0
5,Newcastle Utd,66,20,6,12,21,68,47,63.8,24,27.4,51.3,18.0,28.3,51.3
6,Aston Villa,66,19,9,10,7,58,51,56.1,28,27.0,50.5,19.0,28.5,58.7
7,Nott'ham Forest,65,19,8,11,12,58,46,45.5,23,26.1,41.2,17.0,26.9,56.7
8,Brighton,61,16,13,9,7,66,59,58.7,32,24.8,52.3,19.0,25.9,48.0
9,Bournemouth,56,15,11,12,12,58,46,64.0,29,25.1,48.5,18.0,26.4,45.7
10,Brentford,56,16,8,14,9,66,57,59.0,28,25.8,47.9,18.0,24.8,38.7
11,Fulham,54,15,9,14,0,54,54,49.0,26,28.1,52.3,18.0,28.1,50.0
12,Crystal Palace,53,13,14,11,0,51,51,60.4,29,26.2,42.8,18.0,26.8,37.3
13,Everton,48,11,15,12,-2,42,44,41.8,26,28.0,40.9,17.0,28.3,43.3
14,West Ham,43,11,10,17,-16,46,62,47.0,27,28.1,48.4,19.0,27.8,49.0
15,Manchester Utd,42,11,9,18,-10,44,54,52.6,31,25.5,53.5,19.0,26.3,56.7
16,Wolves,42,12,6,20,-15,54,69,43.7,32,26.9,48.1,19.0,27.1,47.0
17,Tottenham,38,11,5,22,-1,64,65,58.8,31,25.0,54.7,18.0,25.7,55.3
18,Leicester City,25,6,7,25,-47,33,80,32.6,32,26.6,45.4,,,
19,Ipswich Town,22,4,10,24,-46,36,82,34.4,32,25.8,40.6,,,
20,Southampton,12,2,6,30,-60,26,86,32.7,36,25.2,48.5,,,
